Statement,Correct,n,Fasttext.started_mean,Fasttext.started_raw,Fasttext.started_std,Fasttext.stopped_raw,Timer.started_raw,Timer.stopped_raw,fixcross.started_mean,fixcross.started_raw,fixcross.started_std,fixcross.stopped_mean,fixcross.stopped_raw,fixcross.stopped_std,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.started_std,key_resp.stopped_raw,order
An inch has an end,e,1.0,404.6637878417969,404.6637878417969,0.0,,,,404.1800842285156,404.1800842285156,0.0,404.63067626953125,404.63067626953125,0.0,1.0,1.0,0.0,'e',1.1873626708984375,1.1873626708984375,0.0,404.6637878417969,404.6637878417969,0.0,,137.0
An inch is endless,i,1.0,171.2134552001953,171.2134552001953,0.0,,,,170.73020935058594,170.73020935058594,0.0,171.17999267578125,171.17999267578125,0.0,1.0,1.0,0.0,'i',1.3783410787582397,1.3783410787582397,0.0,171.2134552001953,171.2134552001953,0.0,,54.0
An inch cannot go on forever,e,1.0,289.755615234375,289.755615234375,0.0,,,,289.2713623046875,289.2713623046875,0.0,289.7225646972656,289.7225646972656,0.0,0.0,0.0,0.0,'i',1.779025912284851,1.779025912284851,0.0,289.755615234375,289.755615234375,0.0,,97.0
An inch can go on forever,i,1.0,238.2684326171875,238.2684326171875,0.0,,,,237.78564453125,237.78564453125,0.0,238.23548889160156,238.23548889160156,0.0,1.0,1.0,0.0,'i',1.4982082843780518,1.4982082843780518,0.0,238.2684326171875,238.2684326171875,0.0,,82.0
An inch cannot be further divided,i,1.0,412.0147399902344,412.0147399902344,0.0,,415.015418389393,,411.52996826171875,411.52996826171875,0.0,411.98126220703125,411.98126220703125,0.0,0.0,0.0,0.0,'e',3.949972152709961,3.949972152709961,0.0,412.0147399902344,412.0147399902344,0.0,,140.0
An inch can be further divided,e,1.0,184.1488800048828,184.1488800048828,0.0,,,,183.6650390625,183.6650390625,0.0,184.1152801513672,184.1152801513672,0.0,1.0,1.0,0.0,'e',1.9191097021102905,1.9191097021102905,0.0,184.1488800048828,184.1488800048828,0.0,,61.0
Intervals of time are finite,e,1.0,346.4093322753906,346.4093322753906,0.0,,,,345.9256286621094,345.9256286621094,0.0,346.3763427734375,346.3763427734375,0.0,0.0,0.0,0.0,'i',2.865485429763794,2.865485429763794,0.0,346.4093322753906,346.4093322753906,0.0,,115.0
Intervals of time are infinite,i,1.0,202.2169189453125,202.2169189453125,0.0,,,,201.7327117919922,201.7327117919922,0.0,202.1829833984375,202.1829833984375,0.0,1.0,1.0,0.0,'i',1.32907235622406,1.32907235622406,0.0,202.2169189453125,202.2169189453125,0.0,,67.0
Intervals of time have an end,e,1.0,283.870849609375,283.870849609375,0.0,,,,283.3882751464844,283.3882751464844,0.0,283.8379211425781,283.8379211425781,0.0,1.0,1.0,0.0,'e',1.9446536302566528,1.9446536302566528,0.0,283.870849609375,283.870849609375,0.0,283.38828104001004,94.0
Intervals of time are endless,i,1.0,74.4405517578125,74.4405517578125,0.0,,,,73.95762634277344,73.95762634277344,0.0,74.40788269042969,74.40788269042969,0.0,1.0,1.0,0.0,'i',1.6182674169540405,1.6182674169540405,0.0,74.4405517578125,74.4405517578125,0.0,,13.0
Intervals of time cannot go on forever,e,1.0,339.0085144042969,339.0085144042969,0.0,344.00946099997964,342.00943298130295,,338.5257873535156,338.5257873535156,0.0,338.9752502441406,338.9752502441406,0.0,0.0,0.0,0.0,'i',5.030555725097656,5.030555725097656,0.0,339.0085144042969,339.0085144042969,0.0,,113.0
Intervals of time can go on forever,i,1.0,277.8892517089844,277.8892517089844,0.0,282.8893193430267,280.88775494932196,,277.4046936035156,277.4046936035156,0.0,277.855224609375,277.855224609375,0.0,0.0,0.0,0.0,,,,,277.8892517089844,277.8892517089844,0.0,,93.0
Intervals of time cannot be further divided,i,1.0,246.2185516357422,246.2185516357422,0.0,251.21911385201383,249.22015331829897,,245.73602294921875,245.73602294921875,0.0,246.1857452392578,246.1857452392578,0.0,0.0,0.0,0.0,,,,,246.2185516357422,246.2185516357422,0.0,,86.0
Intervals of time can be further divided,e,1.0,65.6067886352539,65.6067886352539,0.0,,68.60749841928482,,65.14073181152344,65.14073181152344,0.0,65.59001159667969,65.59001159667969,0.0,1.0,1.0,0.0,'e',3.9575893878936768,3.9575893878936768,0.0,65.6067886352539,65.6067886352539,0.0,,11.0
Spatial intervals are finite,e,1.0,316.3399353027344,316.3399353027344,0.0,,319.3411311373813,,315.8573303222656,315.8573303222656,0.0,316.3072204589844,316.3072204589844,0.0,1.0,1.0,0.0,'e',3.535611391067505,3.535611391067505,0.0,316.3399353027344,316.3399353027344,0.0,,106.0
Spatial intervals are infinite,i,1.0,349.7765197753906,349.7765197753906,0.0,,,,349.3105163574219,349.3105163574219,0.0,349.7595520019531,349.7595520019531,0.0,1.0,1.0,0.0,'i',1.7916786670684814,1.7916786670684814,0.0,349.7765197753906,349.7765197753906,0.0,,116.0
Spatial intervals have an end,e,1.0,85.87459564208984,85.87459564208984,0.0,,,,85.39230346679688,85.39230346679688,0.0,85.84078216552734,85.84078216552734,0.0,1.0,1.0,0.0,'e',1.630549669265747,1.630549669265747,0.0,85.87459564208984,85.87459564208984,0.0,,18.0
Spatial intervals are endless,i,1.0,83.74176788330078,83.74176788330078,0.0,,,,83.25769805908203,83.25769805908203,0.0,83.70806884765625,83.70806884765625,0.0,1.0,1.0,0.0,'i',1.6225041151046753,1.6225041151046753,0.0,83.74176788330078,83.74176788330078,0.0,,17.0
Spatial intervals cannot go on forever,e,1.0,388.74652099609375,388.74652099609375,0.0,,,,388.2626647949219,388.2626647949219,0.0,388.71270751953125,388.71270751953125,0.0,0.0,0.0,0.0,'i',2.433856964111328,2.433856964111328,0.0,388.74652099609375,388.74652099609375,0.0,,132.0
Spatial intervals can go on forever,i,1.0,48.13938522338867,48.13938522338867,0.0,,,,47.65686798095703,47.65686798095703,0.0,48.10557174682617,48.10557174682617,0.0,1.0,1.0,0.0,'i',2.2583484649658203,2.2583484649658203,0.0,48.13938522338867,48.13938522338867,0.0,,3.0
Spatial intervals cannot be further divided,i,1.0,383.0291442871094,383.0291442871094,0.0,,,,382.54486083984375,382.54486083984375,0.0,382.99591064453125,382.99591064453125,0.0,0.0,0.0,0.0,'e',2.054682970046997,2.054682970046997,0.0,383.0291442871094,383.0291442871094,0.0,,129.0
Spatial intervals can be further divided,e,1.0,211.1669921875,211.1669921875,0.0,,,,210.68365478515625,210.68365478515625,0.0,211.1344451904297,211.1344451904297,0.0,0.0,0.0,0.0,'i',1.1814641952514648,1.1814641952514648,0.0,211.1669921875,211.1669921875,0.0,,71.0
Numerical intervals are finite,e,1.0,361.1614685058594,361.1614685058594,0.0,,364.16089274133554,,360.6777648925781,360.6777648925781,0.0,361.1274108886719,361.1274108886719,0.0,0.0,0.0,0.0,'i',4.028709888458252,4.028709888458252,0.0,361.1614685058594,361.1614685058594,0.0,,120.0
Numerical intervals are infinite,i,1.0,130.36178588867188,130.36178588867188,0.0,,,,129.8783416748047,129.8783416748047,0.0,130.32989501953125,130.32989501953125,0.0,0.0,0.0,0.0,'e',0.9843072891235352,0.9843072891235352,0.0,130.36178588867188,130.36178588867188,0.0,,36.0
Numerical intervals have an end,e,1.0,328.59149169921875,328.59149169921875,0.0,,331.5915418552933,,328.108154296875,328.108154296875,0.0,328.5578918457031,328.5578918457031,0.0,0.0,0.0,0.0,'i',3.065427541732788,3.065427541732788,0.0,328.59149169921875,328.59149169921875,0.0,,109.0
Numerical intervals are endless,i,1.0,108.42610168457031,108.42610168457031,0.0,,,,107.96051025390625,107.96051025390625,0.0,108.40962982177734,108.40962982177734,0.0,1.0,1.0,0.0,'i',1.9097172021865845,1.9097172021865845,0.0,108.42610168457031,108.42610168457031,0.0,,28.0
Numerical intervals cannot go on forever,e,1.0,375.694580078125,375.694580078125,0.0,,,,375.22784423828125,375.22784423828125,0.0,375.6785583496094,375.6785583496094,0.0,0.0,0.0,0.0,'i',1.6840523481369019,1.6840523481369019,0.0,375.694580078125,375.694580078125,0.0,,125.0
Numerical intervals can go on forever,i,1.0,145.9795684814453,145.9795684814453,0.0,,148.97975531236733,,145.49588012695312,145.49588012695312,0.0,145.9461669921875,145.9461669921875,0.0,1.0,1.0,0.0,'i',3.5695297718048096,3.5695297718048096,0.0,145.9795684814453,145.9795684814453,0.0,,44.0
Numerical intervals cannot be further divided,i,1.0,296.57318115234375,296.57318115234375,0.0,,299.58954663230105,,296.1054382324219,296.1054382324219,0.0,296.5566101074219,296.5566101074219,0.0,1.0,1.0,0.0,'i',4.639360427856445,4.639360427856445,0.0,296.57318115234375,296.57318115234375,0.0,,100.0
Numerical intervals can be further divided,e,1.0,119.1446304321289,119.1446304321289,0.0,,122.14374886632432,,118.66014099121094,118.66014099121094,0.0,119.11078643798828,119.11078643798828,0.0,1.0,1.0,0.0,'e',2.998938798904419,2.998938798904419,0.0,119.1446304321289,119.1446304321289,0.0,,32.0
Time is finite,i,1.0,311.5079040527344,311.5079040527344,0.0,,,,311.02349853515625,311.02349853515625,0.0,311.4737243652344,311.4737243652344,0.0,1.0,1.0,0.0,'i',2.411040782928467,2.411040782928467,0.0,311.5079040527344,311.5079040527344,0.0,,104.0
Time is infinite,e,1.0,212.85162353515625,212.85162353515625,0.0,,,,212.36660766601562,212.36660766601562,0.0,212.8168182373047,212.8168182373047,0.0,1.0,1.0,0.0,'e',1.0746177434921265,1.0746177434921265,0.0,212.85162353515625,212.85162353515625,0.0,,72.0
