FastInstructions,Statement,Correct,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,EndStudyText.started,EndStudyText.stopped,endstudykey.keys,endstudykey.rt,endstudykey.started,endstudykey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,A clock is used to tell time,e,,,,,0,58,58,122,,,,,,,177.66461044200696,178.11467441997956,178.1486838470446,None,e,1,1.0558716560481116,178.1486838470446,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Five cannot go on forever,e,,,,,0,59,59,68,,,,,,,179.23075559502468,179.68155559606384,179.7150456950767,None,i,0,1.1733071929775178,179.7150456950767,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,The United States has a president,e,,,,,0,60,60,128,,,,,,,180.91465690499172,181.36523320199922,181.39771054300945,None,e,1,2.2473963840166107,181.39771054300945,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,An inch can be further divided,e,,,,,0,61,61,15,,,,,,,183.66503733105492,184.11527612106875,184.14888182503637,None,e,1,1.9191096699796617,184.14888182503637,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A minute is endless,i,,,,,0,62,62,3,,,,,,,186.0987234780332,186.54893226898275,186.58186075801495,None,i,1,1.8450151750585064,186.58186075801495,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Concrete is composed of matter,e,,,,,0,63,63,79,,,,,,,188.4483131590532,188.8985290080309,188.93175248999614,None,e,1,2.618079372914508,188.93175248999614,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Words have a molecular structure,i,,,,,0,64,64,110,,,,,,,191.56598885101266,192.01533544203267,192.0487557790475,None,i,1,3.19589992496185,192.0487557790475,None,195.0495268303668,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A minute can go on forever,i,,,,,0,65,65,5,,,,,,,195.26516169006936,195.71624613401946,195.75012231408618,None,i,1,4.356113839079626,195.75012231408618,None,198.75092540138866,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Dumbells are composed of matter,e,,,,,0,66,66,78,,,,,,,200.13317601801828,200.5829767700052,200.6171054689912,None,e,1,1.0931022990262136,200.6171054689912,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Intervals of time are infinite,i,,,,,0,67,67,17,,,,,,,201.73271285300143,202.18297780002467,202.21691240405198,None,i,1,1.3290723429527134,202.21691240405198,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
